HR_ID	Bayer_Name	Constellation	RA	DEC	X	Y	Magnitude	Distance_LY	Spectrum	Chinese_Name
15	α/And	仙女	2.100000	29.100000	1681	2585	2.1	98	B8IVpMnHg	壁宿二
21	β/Cas	仙后	2.290000	59.100000	1691	2778	2.3	55	F2III-IV	王良一
25	ε/Phe	凤凰	2.350000	-45.700000	1664	2103	3.9	141	K0III	
39	γ/Peg	飞马	3.310000	15.200000	1692	2494	2.8	362	B2IV	壁宿一
45	χ/Peg	飞马	3.650000	20.200000	1698	2526	4.8	326	M2+III	
63	θ/And	仙女	4.270000	38.700000	1714	2645	4.6	271	A2V	
68	σ/And	仙女	4.580000	36.800000	1718	2632	4.5	141	A2V	
74	ι/Cet	鲸鱼	4.860000	-8.800000	1697	2339	3.5	296	K1.5III	天仓一
77	ζ/Tuc	杜鹃	5.020000	-64.900000	1667	1979	4.2	28	F9V	
98	β/Hyi	水蛇	6.440000	-77.300000	1662	1899	2.8	24	G2IV	
99	α/Phe	凤凰	6.570000	-42.300000	1688	2123	2.4	77	K0III	火鸟六
100	κ/Phe	凤凰	6.550000	-43.700000	1687	2114	3.9	77	A7V	
105	η/Scl	玉夫	6.980000	-33.000000	1697	2182	4.8	645	M4III	
123	λ/Cas	仙后	7.940000	54.500000	1781	2740	4.7	362	B8Vn	
125	λ1/Phe	凤凰	7.850000	-48.800000	1689	2081	4.8	181	A0V	
126	β1/Tuc	杜鹃	7.890000	-63.000000	1676	1990	4.4	141	B9V	
127	β2/Tuc	杜鹃	7.890000	-63.000000	1676	1990	4.5	181	A2V+A7V	
130	κ/Cas	仙后	8.250000	62.900000	1794	2793	4.2	2917	B1Iae	
153	ζ/Cas	仙后	9.240000	53.900000	1801	2733	3.7	660	B2IV	
154	π/And	仙女	9.220000	33.700000	1780	2604	4.4	356	B5V	
163	ε/And	仙女	9.640000	29.300000	1781	2575	4.4	171	G8IIIp	
165	δ/And	仙女	9.830000	30.900000	1786	2585	3.3	101	K3III	
168	α/Cas	仙后	10.130000	56.500000	1819	2747	2.2	232	K0IIIa	王良四
